Page,Visitors,Total
"google.com",42,45
"bing.com",7,7
"chatgpt.com",6,7
"yandex.ru",4,4
"v0.app",3,3
"es.search.yahoo.com",2,2
"vercel.com",2,2
"heapr.com",1,1
"managedq.com",1,1
"search.google.com",1,1
"shodanhq.com",1,1
