Page,Visitors,Total
"US",116,271
"ES",38,120
"AU",14,17
"DE",10,17
"FR",5,8
"GB",5,11
"RU",5,5
"NZ",4,8
"UA",3,4
"IN",2,8
"TR",2,2
"CN",1,1
"CU",1,7
"DZ",1,3
"EC",1,2
"IL",1,5
"LT",1,1
"MY",1,1
"NL",1,1
"PL",1,1
"PT",1,2
"SE",1,3
